k_start,k_end,t_start_sec,alpha,lib_id,lib_peak,target_peak,max_dev_after
12140,12231,242.78,0.163999206922509,197,183.683824002006,30.1240014608228,30.9166157789281
12688,12791,253.74,0.0769571419686294,90,155.457235277101,11.9635445252705,36.9913818834584
12391,12472,247.8,0.244399136271615,113,116.109010847565,28.3769419644965,42.6245725085783
12735,12816,254.68,0.0965946978166369,171,114.384964046854,11.0489810368727,32.9597365109201
12076,12156,241.5,0.486151440642812,37,88.2423571761316,42.8991490668939,41.2096789174205
12767,12858,255.32,0.129533395780713,81,132.914294189903,17.2168398742148,37.3667318925925
12099,12183,241.96,0.292284130629023,121,122.769905107074,35.8836949816289,39.6546532254145
12313,12412,246.24,0.110355459810712,146,183.357408358648,20.2344911091191,47.8524596913154
12751,12832,255,0.221120608891092,113,116.109010847565,25.674095176356,48.1777277868537
12091,12178,241.8,0.159173697698634,3,128.365017041248,20.4323344176037,43.9147987756772
11935,12013,238.68,0.138222783030716,214,132.383364513824,18.2983970700704,20.8108336140176
11857,11955,237.12,0.284616955809417,236,116.873346833228,33.2641361909314,34.6257802051843
12302,12382,246.02,0.136128028122285,130,171.678793099206,23.3702955750086,42.4020513825853
11957,12036,239.12,0.184611447829774,183,98.06999949016,18.1048445945436,16.0659956393975
12557,12657,251.12,0.096338725961891,203,248.944173661486,23.9829645261833,39.1707017166984
