k_start,k_end,t_start_sec,alpha,lib_id
58,138,1.14871765798811,0.239967731507392,115
60,121,1.17179569547981,0.21513136604286,24
78,150,1.54182159696135,0.287816607639583,14
94,165,1.85831886411218,0.369264174031599,13
95,173,1.87149886275885,0.370032084374776,15
142,225,2.81493607662557,0.249540892744651,166
159,255,3.15438182290449,0.293473097652195,168
180,274,3.58188889423648,0.197974901106486,235
231,306,4.59875600752272,0.277732328984723,122
232,315,4.61219485455413,0.418673053561934,149
238,306,4.74368268961124,0.169460995128008,65
248,325,4.93726373415955,0.358020365855625,136
258,333,5.13680993184777,0.355940773392861,148
275,344,5.47850595737408,0.294199906705634,16
298,364,5.94359138449142,0.335472785277116,64
426,507,8.50125747065868,0.248691787241786,233
454,531,9.05819394276792,0.170298376350507,66
496,576,9.89263530651028,0.403621285728161,63
667,761,13.3186214378817,0.18792384116009,201
1140,1220,22.7821652811037,0.371412212898723,107
1731,1810,34.5918736527426,0.439980995680257,181
1806,1881,36.1082304814268,0.31844419752094,148
1907,1976,38.1100089961643,0.30389399152645,126
1931,1997,38.5939997877063,0.254875290809397,219
1946,2014,38.8900573563524,0.16429993532348,65
1949,2037,38.9664027989857,0.395026302125573,78
2047,2129,40.9117572500603,0.410095685759746,34
2118,2207,42.3447050998179,0.436047941294026,94
2134,2195,42.650623051662,0.356544598108066,182
2138,2228,42.7313747921687,0.372175868379985,105
2320,2399,46.3723060096458,0.386561773447022,11
2336,2389,46.6980400973606,0.29636820035968,237
2373,2442,47.4350977465323,0.391272751312117,140
2376,2455,47.4942097017187,0.359302365870041,70
2406,2500,48.0967586717602,0.232002541366381,201
2407,2488,48.1137550883794,0.38205645356454,162
2429,2512,48.5693498363555,0.401654371599701,47
2472,2538,49.4193935982249,0.211322527816263,204
2476,2552,49.4993366016547,0.381558746348661,118
2501,2590,50.0069600209295,0.397924631193084,109
2507,2580,50.1242026769962,0.403574452902761,82
2540,2612,50.7713273459283,0.267645771741971,85
2546,2602,50.9019457678119,0.246821279428855,173
2548,2610,50.9482336910926,0.183212210279505,137
2598,2661,51.9417899069091,0.387360369056355,40
2736,2789,54.6980469872385,0.296814546053724,237
2813,2897,56.2489060327568,0.30607469254619,32
2866,2947,57.3084454751486,0.422550321161004,233
2974,3135,59.4674522118577,0.433338584057278,167
2991,3076,59.8028628391202,0.150358519189152,142
3035,3092,60.6841194125635,0.213260754731605,222
3046,3113,60.8950154726998,0.275582014388268,4
3051,3117,60.9995435072772,0.251966161965655,210
3055,3143,61.0759397882359,0.247128240990267,78
3065,3138,61.2812196949213,0.375615212952552,110
3076,3221,61.4989330967784,0.213824696917069,151
3106,3208,62.1043281916705,0.297174441698292,84
3174,3243,63.4505109343773,0.424394683725323,178
3176,3251,63.5003916248972,0.25800573737396,148
3197,3261,63.9240474275461,0.19798825379855,239
3224,3309,64.450694873521,0.263383055137219,215
3233,3319,64.6423224252238,0.201628422167479,232
3438,3527,68.7453668949704,0.169556081706595,94
3607,3686,72.1216486133295,0.189078378860772,220
3692,3758,73.8257652055142,0.216632998259354,143
3994,4075,79.8699357661512,0.35083492219489,233
4260,4339,85.176200539516,0.159001321059923,112
4540,4604,90.7834189259899,0.341586006331681,28
4565,4644,91.2712543873262,0.372183658122062,112
4584,4672,91.6569771740639,0.163146202068975,155
4620,4696,92.3779673763697,0.233274586649378,8
4643,4702,92.8460096311501,0.20534208761119,139
4660,4733,93.1799711239081,0.368924423080722,116
4661,4738,93.1918924703022,0.180638718345121,101
4685,4750,93.6892720293826,0.349218689481951,114
4695,4771,93.8765718962578,0.427242652133659,238
4708,4786,94.1310356818802,0.381543086290761,191
4763,4833,95.2494758338108,0.243587689271267,159
4798,4878,95.9303175213644,0.334395273114591,63
4832,4934,96.6157152060049,0.294465594132056,91
5102,5247,102.013276194465,0.174479134188419,151
5107,5168,102.119323483724,0.185799965679905,61
5350,5418,106.986856530221,0.424352165388853,52
5360,5451,107.182633745535,0.267919634617111,169
5368,5446,107.338482654718,0.212269971927469,214
5376,5459,107.502524275444,0.383648830975432,166
5423,5525,108.435842045936,0.250717955947257,91
5423,5496,108.4417482938,0.2689355031679,87
5467,5551,109.32605481711,0.288465058840692,32
5524,5602,110.454154235779,0.335004466042797,229
5527,5608,110.523867423565,0.259663096411736,171
5586,5667,111.690089233646,0.385254553059366,244
5589,5666,111.760515337923,0.269584151037393,135
5599,5669,111.951850551342,0.29553263540526,119
5622,5703,112.412618717746,0.441417327556603,234
5623,5705,112.443684763883,0.417435430096873,199
5632,5710,112.611980576928,0.417704495623385,229
5638,5714,112.737479607399,0.320677756960725,8
5659,5723,113.164293745746,0.176275936734953,145
5679,5754,113.567725527294,0.308759807688399,160
5738,5819,114.733752422059,0.295613553356009,171
5738,5808,114.744503281266,0.375518546960295,159
5753,5828,115.035691595666,0.364855663220704,80
5769,5840,115.367390110744,0.301008846524025,13
5785,5854,115.674794603717,0.365710508294181,178
5805,5877,116.089709006667,0.249363363821527,14
5846,5932,116.894846990816,0.427558206128307,18
5892,5953,117.811798402568,0.369906298169457,182
5904,5983,118.057694633892,0.425081749309538,240
6792,6858,135.819916261207,0.255698208354397,205
6806,6890,136.093404085998,0.165145522944878,121
6819,6895,136.361618090324,0.305719756848726,186
6822,6913,136.417063311074,0.449541581745304,123
6833,6896,136.644796912434,0.440861812408556,129
6839,6919,136.759253358104,0.405102803542307,26
6899,6960,137.961909887468,0.410176896628335,23
6910,6995,138.171246893555,0.177614356541754,142
6930,6993,138.579019304271,0.297713925335654,40
6951,7032,138.993194897008,0.281573094690162,184
6959,7032,139.169407530164,0.379826188266087,212
6964,7048,139.261288888036,0.443561204686743,77
6968,7030,139.342139139563,0.30982747276789,137
6988,7064,139.736951355763,0.332112495645862,161
6989,7091,139.751224450691,0.253834210061933,84
7010,7113,140.189150561458,0.247535932883569,59
7017,7081,140.328297918334,0.160485943580401,196
7027,7115,140.517069143102,0.284299201303189,147
7039,7129,140.757582481202,0.220233799849283,188
7055,7138,141.071869539973,0.404930598369083,174
7056,7132,141.10064874404,0.339059427558923,238
7063,7154,141.242752062761,0.152693139609895,170
7068,7131,141.349560968607,0.303486114005262,44
7084,7209,141.668927565257,0.388704288882442,228
7105,7182,142.07911136498,0.187762969328196,132
7129,7188,142.551397748169,0.179605089237126,139
7138,7196,142.742927038959,0.205607482290764,133
7165,7243,143.279484591446,0.218004352950096,229
7193,7270,143.838158414249,0.412221593185089,136
7225,7292,144.486262778945,0.358686473767053,156
7325,7403,146.477065717654,0.413033083074004,185
7344,7419,146.857227112463,0.396550895212713,134
7361,7452,147.201015919771,0.234886952872922,169
7385,7438,147.685132193207,0.419481912751832,46
7453,7539,149.030536247964,0.178937121625084,232
7481,7548,149.59597187588,0.163616469716075,31
7535,7618,150.678582848287,0.332807776751477,174
7543,7615,150.840447925652,0.349827389993224,58
7546,7618,150.901875264715,0.171384557376616,150
7612,7685,152.225348824885,0.33244197274443,212
7635,7705,152.670322962983,0.42722987127203,104
7646,7725,152.907970067879,0.238661488670429,211
7702,7772,154.027935748933,0.33166767263839,102
7720,7801,154.376397541565,0.273251069854895,217
8227,8309,164.525526716906,0.232594138015341,98
8317,8399,166.326676341321,0.234128933178578,98
8320,8396,166.378245552274,0.335792415174947,1
