k,t,x,y,z
0,0,-356,-1522,-1938
1,0.02,-356,-1522,-1938
2,0.04,-357,-1522,-1937
3,0.06,-357,-1523,-1935
4,0.08,-356,-1524,-1934
5,0.1,-356,-1524,-1934
6,0.12,-356,-1524,-1934
7,0.14,-356,-1524,-1934
8,0.16,-356,-1524,-1934
9,0.18,-356,-1525,-1934
10,0.2,-356,-1526,-1935
11,0.22,-356,-1526,-1937
12,0.24,-356,-1525,-1939
13,0.26,-357,-1525,-1939
14,0.28,-358,-1526,-1939
15,0.3,-358,-1525,-1940
16,0.32,-358,-1524,-1940
17,0.34,-359,-1524,-1940
18,0.36,-360,-1524,-1940
19,0.38,-360,-1524,-1940
20,0.4,-360,-1523,-1941
21,0.42,-359,-1522,-1941
22,0.44,-358,-1522,-1940
23,0.46,-358,-1523,-1939
24,0.48,-358,-1524,-1938
25,0.5,-358,-1524,-1938
26,0.52,-358,-1524,-1938
27,0.54,-357,-1524,-1938
28,0.56,-356,-1524,-1937
29,0.58,-356,-1524,-1937
30,0.6,-356,-1524,-1938
31,0.62,-356,-1524,-1939
32,0.64,-357,-1523,-1940
33,0.66,-358,-1522,-1940
34,0.68,-357,-1522,-1941
35,0.7,-356,-1523,-1941
36,0.72,-356,-1524,-1941
37,0.74,-356,-1524,-1941
38,0.76,-356,-1524,-1939
39,0.78,-356,-1524,-1939
40,0.8,-356,-1524,-1939
41,0.82,-356,-1525,-1938
42,0.84,-356,-1526,-1936
43,0.86,-356,-1525,-1935
44,0.88,-356,-1524,-1936
45,0.9,-357,-1524,-1937
46,0.92,-357,-1523,-1939
47,0.94,-356,-1522,-1939
48,0.96,-356,-1522,-1938
49,0.98,-356,-1522,-1938
50,1,-356,-1522,-1938
51,1.02,-356,-1521,-1939
52,1.04,-356,-1520,-1940
53,1.06,-356,-1521,-1939
54,1.08,-356,-1522,-1938
55,1.1,-356,-1522,-1938
56,1.12,-355,-1522,-1938
57,1.14,-354,-1522,-1938
58,1.16,-354,-1522,-1937
59,1.18,-354,-1522,-1935
60,1.2,-353,-1522,-1934
61,1.22,-352,-1522,-1934
62,1.24,-352,-1522,-1934
63,1.26,-352,-1522,-1934
64,1.28,-352,-1522,-1935
65,1.3,-353,-1522,-1937
66,1.32,-354,-1522,-1938
67,1.34,-354,-1523,-1938
68,1.36,-355,-1524,-1939
69,1.38,-356,-1524,-1941
70,1.4,-356,-1524,-1942
71,1.42,-356,-1523,-1941
72,1.44,-357,-1522,-1939
73,1.46,-358,-1522,-1938
74,1.48,-358,-1522,-1938
75,1.5,-358,-1522,-1938
76,1.52,-358,-1522,-1938
77,1.54,-358,-1522,-1938
78,1.56,-358,-1522,-1938
79,1.58,-358,-1523,-1939
80,1.6,-359,-1523,-1945
81,1.62,-362,-1521,-1946
82,1.64,-364,-1520,-1942
83,1.66,-362,-1525,-1936
84,1.68,-360,-1530,-1932
85,1.7,-360,-1526,-1938
86,1.72,-358,-1526,-1940
87,1.74,-358,-1530,-1934
88,1.76,-360,-1528,-1934
89,1.78,-360,-1526,-1937
90,1.8,-359,-1526,-1936
91,1.82,-359,-1526,-1937
92,1.84,-359,-1526,-1938
93,1.86,-358,-1526,-1938
94,1.88,-358,-1526,-1938
95,1.9,-358,-1526,-1938
96,1.92,-358,-1526,-1938
97,1.94,-359,-1523,-1942
98,1.96,-360,-1521,-1946
99,1.98,-360,-1522,-1946
100,2,-360,-1519,-1942
101,2.02,-358,-1514,-1940
102,2.04,-355,-1514,-1942
103,2.06,-355,-1513,-1942
104,2.08,-355,-1516,-1942
105,2.1,-355,-1520,-1941
106,2.12,-356,-1518,-1940
107,2.14,-356,-1518,-1940
108,2.16,-356,-1518,-1940
109,2.18,-356,-1519,-1940
110,2.2,-356,-1520,-1940
111,2.22,-356,-1521,-1940
112,2.24,-356,-1522,-1939
113,2.26,-356,-1521,-1939
114,2.28,-356,-1520,-1939
115,2.3,-356,-1520,-1938
116,2.32,-356,-1521,-1939
117,2.34,-356,-1522,-1939
118,2.36,-356,-1521,-1938
119,2.38,-356,-1520,-1938
120,2.4,-356,-1520,-1938
121,2.42,-356,-1520,-1938
122,2.44,-356,-1520,-1938
123,2.46,-356,-1520,-1938
124,2.48,-356,-1520,-1937
125,2.5,-355,-1521,-1935
126,2.52,-355,-1521,-1935
127,2.54,-356,-1520,-1935
128,2.56,-356,-1521,-1934
129,2.58,-356,-1522,-1934
130,2.6,-356,-1522,-1935
131,2.62,-356,-1522,-1937
132,2.64,-356,-1522,-1938
133,2.66,-356,-1522,-1939
134,2.68,-357,-1521,-1940
135,2.7,-357,-1521,-1941
136,2.72,-356,-1522,-1942
137,2.74,-356,-1522,-1942
138,2.76,-356,-1521,-1942
139,2.78,-356,-1520,-1941
140,2.8,-356,-1520,-1940
141,2.82,-356,-1521,-1940
142,2.84,-356,-1522,-1940
143,2.86,-357,-1522,-1939
144,2.88,-357,-1522,-1938
145,2.9,-357,-1522,-1938
146,2.92,-358,-1522,-1937
147,2.94,-357,-1522,-1936
148,2.96,-356,-1522,-1936
149,2.98,-357,-1522,-1936
150,3,-357,-1522,-1936
151,3.02,-356,-1522,-1936
152,3.04,-356,-1521,-1937
153,3.06,-356,-1520,-1938
154,3.08,-356,-1520,-1939
155,3.1,-355,-1520,-1941
156,3.12,-355,-1520,-1943
157,3.14,-355,-1520,-1944
158,3.16,-355,-1521,-1943
159,3.18,-356,-1522,-1942
160,3.2,-355,-1522,-1941
161,3.22,-354,-1522,-1940
162,3.24,-354,-1523,-1939
163,3.26,-354,-1524,-1937
164,3.28,-354,-1524,-1936
165,3.3,-354,-1524,-1936
166,3.32,-354,-1523,-1935
167,3.34,-354,-1522,-1935
168,3.36,-355,-1522,-1936
169,3.38,-356,-1521,-1937
170,3.4,-356,-1520,-1938
171,3.42,-357,-1520,-1938
172,3.44,-358,-1520,-1939
173,3.46,-358,-1521,-1940
174,3.48,-359,-1522,-1940
175,3.5,-360,-1522,-1940
176,3.52,-360,-1522,-1940
177,3.54,-360,-1522,-1940
178,3.56,-360,-1522,-1940
179,3.58,-359,-1522,-1940
180,3.6,-358,-1522,-1940
181,3.62,-358,-1522,-1940
182,3.64,-359,-1522,-1940
183,3.66,-360,-1522,-1939
184,3.68,-360,-1522,-1938
185,3.7,-360,-1521,-1938
186,3.72,-360,-1521,-1939
187,3.74,-360,-1522,-1940
188,3.76,-360,-1521,-1940
189,3.78,-360,-1521,-1941
190,3.8,-359,-1522,-1942
191,3.82,-358,-1522,-1942
