k_start,k_end,t_start_sec,alpha,lib_id,lib_peak,target_peak,max_dev_after
11622,11713,232.42,0.0775655849576498,197,183.683824002006,14.2475432559736,22.8639405098075
12050,12153,240.98,0.05,90,155.457235277101,5.65831595580802,18.8166123412265
12092,12173,241.82,0.05,171,114.384964046854,5.22576110819829,17.3973149652468
12115,12206,242.28,0.0612645256268174,81,132.914294189903,8.14293118256763,17.49873331822
11590,11674,231.78,0.138239629273272,121,122.769905107074,16.9716661679167,21.6501041398473
12104,12185,242.06,0.104581904368192,113,116.109010847565,12.1429014687455,20.5935197205845
11583,11670,231.64,0.0752832968131392,3,128.365017041248,9.66374167833997,22.2465836028445
11461,11539,229.2,0.0653742857751604,214,132.383364513824,8.65446790360395,17.429087709841
11399,11497,227.96,0.134613337957508,236,116.873346833228,15.7327113354863,19.6451771944385
11478,11557,229.54,0.0873144157798344,183,98.06999949016,8.56292471101198,20.2947668260335
11948,12048,238.94,0.05,203,248.944173661486,11.3430589537604,18.0196066549744
11525,11597,230.48,0.0982986624556001,85,103.682476822267,10.1918487917126,21.2070469221689
12022,12122,240.42,0.05,203,248.944173661486,6.7731899563068,22.6677312367997
11835,11916,236.68,0.0539306345734849,171,114.384964046854,6.16885369671208,23.0253430558664
11900,11991,237.98,0.124251743002754,123,94.4121771807006,11.7308775753869,22.9961334112052
