k_start,k_end,t_start_sec,alpha,lib_id,lib_peak,target_peak,max_dev_after
7026,7104,140.5,0.05,214,132.383364513824,5.02586817636168,6.32573221058235
6966,7064,139.3,0.0781733665073418,236,116.873346833228,9.1363829769336,11.9818378243672
7391,7482,147.8,0.0530691560658765,170,207.114731489578,10.9914040089625,12.3485213467698
7042,7121,140.82,0.0507056873389918,183,98.06999949016,4.97270673148314,8.66117448055108
7088,7160,141.74,0.0570845169127948,85,103.682476822267,5.91866410172118,7.1425881738989
7004,7107,140.06,0.05,230,220.923378572753,8.30004504993147,10.2429447849672
7386,7467,147.7,0.05,171,114.384964046854,3.58240920461737,12.5350519087
7094,7174,141.86,0.05,37,88.2423571761316,4.3704138141639,10.6373333604544
7360,7439,147.18,0.0588634393566938,216,127.335833134275,7.4954250916335,11.6648030605949
6985,7072,139.68,0.0585295832614753,207,90.2008514372231,5.27941824445091,11.9768919994746
7362,7432,147.22,0.05,119,89.2454682322861,2.77897359423864,13.1689791842373
7426,7509,148.5,0.05,47,137.508888439984,3.91335325384937,13.0874740114355
7408,7504,148.14,0.0841870248082405,93,174.936482187107,14.7273819657523,12.6969947928468
7047,7137,140.92,0.05,105,186.234046296589,3.36489623644251,12.8305149198915
7402,7475,148.02,0.05,141,103.436774891718,4.51317493327807,13.4192792200942
