k_start,k_end,t_start_sec,alpha,lib_id,lib_peak,target_peak,max_dev_after
4467,4544,89.32,0.769703763308584,66,102.257212948525,78.707761631927,76.811487874966
4394,4485,87.86,0.335307134767484,197,183.683824002006,61.5904967292475,92.469116097213
4442,4545,88.82,0.157343924142196,90,155.457235277101,24.4602514347957,93.9756294706212
4425,4506,88.48,0.499690063511126,113,116.109010847565,58.0185190046339,92.4457815617548
4389,4469,87.76,0.993968505604109,37,88.2423571761316,87.7101238933436,93.5257404217736
4389,4476,87.76,0.325441064668644,3,128.365017041248,41.7752478121126,92.5383859363651
4373,4451,87.44,0.282605545522645,214,132.383364513824,37.4122729465524,96.4340933525805
4457,4538,89.12,0.295626406945532,217,154.631675927023,45.7132067542719,64.0667250659309
4393,4484,87.84,0.186861779286116,170,207.114731489578,38.7018272425086,95.9642910131275
4444,4516,88.86,0.490349467699558,85,103.682476822267,50.8406473195706,90.4865647367494
4463,4553,89.24,0.131808544553358,55,242.557651703672,31.9711710413414,94.8059531185744
4375,4456,87.48,0.206414785717947,244,95.3976268048634,19.6914806949265,99.6727482310474
4365,4438,87.28,0.68749049077083,141,103.436774891718,71.1117991340593,84.1044806920378
4459,4546,89.16,0.470539642246843,3,128.365017041248,60.400829195599,99.3748770183108
4478,4550,89.54,0.165636396672698,19,269.053654128689,44.5650777814984,98.8275652022347
