k_start,k_end,t_start_sec,alpha,lib_id,lib_peak,target_peak,max_dev_after
8895,8972,177.88,1.5964282728634,66,102.257212948525,163.246305855238,165.709541825502
8688,8779,173.74,0.695454297552943,197,183.683824002006,127.743704793154,127.02923996958
8866,8969,177.3,0.326344109302699,90,155.457235277101,50.7325529811657,163.922286421258
8776,8857,175.5,1.0363978755009,113,116.109010847565,120.335132168928,116.015889132025
8668,8748,173.34,2.06157160757704,37,88.2423571761316,181.917938139985,184.847380409386
8900,8991,177.98,0.549298734199909,81,132.914294189903,73.0096535555878,202.429050688225
8816,8897,176.3,1.00155555639086,217,154.631675927023,154.872214218741,163.504082999368
8744,8843,174.86,0.467972865381321,146,183.357408358648,85.8062917784895,181.445044782119
8620,8698,172.38,0.586146910599758,214,132.383364513824,77.5961001245795,188.221466586904
8592,8690,171.82,1.20694537972749,236,116.873346833228,141.059745973653,181.733035839557
8648,8720,172.94,0.88134740794875,85,103.682476822267,91.3802821970117,197.46680913193
8715,8840,174.28,0.463947876067237,228,240.402985006426,111.534454293955,178.079810616526
8731,8812,174.6,1.71071766176755,171,114.384964046854,195.680378235599,203.826144173027
8783,8864,175.64,0.48354294761479,171,114.384964046854,55.3100426780274,176.677374614002
8850,8931,176.98,1.6743332693589,194,99.9305759014728,167.31708785803,165.342274508639
