k_start,k_end,t_start_sec,alpha,lib_id,lib_peak,target_peak,max_dev_after
1302,1379,26.02,0.146384289012277,66,102.257212948525,14.9688494138468,17.667762564029
1157,1248,23.12,0.063769594048358,197,183.683824002006,11.713442889858,12.3512702616989
1219,1300,24.36,0.0950323724014979,113,116.109010847565,11.0341147580354,14.6997627109808
1144,1224,22.86,0.18903554838814,37,88.2423571761316,16.6809423798521,18.2792562433056
1111,1189,22.2,0.0537466669961879,214,132.383364513824,7.11516460835945,17.1985527263863
1092,1190,21.82,0.1106707042786,236,116.873346833228,12.9344556054304,18.6693003415232
1198,1278,23.94,0.052932140678359,130,171.678793099206,9.08732602781806,17.7143126253539
1116,1195,22.3,0.0717844757038791,183,98.06999949016,7.03990349568083,18.8759287611668
1248,1348,24.94,0.05,203,248.944173661486,9.32555675487824,18.0319877845302
1238,1329,24.74,0.102152046109273,123,94.4121771807006,9.64439707663977,17.4088952652377
1191,1275,23.8,0.0526568459645146,108,98.6977689717451,5.19711321778643,17.8317480541171
1220,1290,24.38,0.05,119,89.2454682322861,3.93421671071487,18.6381500068982
1235,1318,24.68,0.05,47,137.508888439984,5.54016770729435,18.3193839894768
1169,1242,23.36,0.0511484243816921,99,130.570747106693,6.67848798484773,16.6520462143519
1184,1287,23.66,0.05,90,155.457235277101,4.00408729766087,18.3143687673157
